Stim_Number,Delay
1,1.0676
2,0.7498
3,0.9657
4,0.5817
5,1.4624000000000001
6,0.9514
7,0.5618000000000001
8,0.8519
9,0.6628000000000001
10,0.7908000000000001
11,0.9622
12,0.7286
13,0.8310000000000001
14,0.5822
15,0.7086
16,0.7533000000000001
17,0.9118
18,1.4977
19,1.3277
20,1.1996
21,0.795
22,1.1339000000000001
23,0.6023000000000001
24,1.2252
25,0.6413
26,0.5066
27,1.4219000000000002
28,0.5955
29,0.8506
30,1.1554
31,1.1543
32,1.2711000000000001
33,1.3246
34,0.5409
35,1.3275000000000001
36,1.4061000000000001
37,0.6249
38,1.0437
39,0.5217
40,1.058
41,0.7112
42,0.5820000000000001
43,1.0772000000000002
44,1.3453000000000002
45,1.4092
46,0.6854
47,0.515
48,1.3732
49,0.5025000000000001
50,1.2892000000000001
51,1.0041
52,1.2477
53,1.2454
54,1.4446
55,1.3085
56,0.9667
57,1.1339000000000001
58,1.0899
59,1.4548
60,1.1361
61,1.4040000000000001
62,0.5303
63,0.6284000000000001
64,0.8724000000000001
65,0.9948
66,0.9653
67,0.6011000000000001
68,0.6448
69,1.2777
70,0.9797
71,0.7438
72,1.3263
73,1.2115
74,1.2981
75,0.7706000000000001
76,1.079
77,1.4772
78,0.9446
79,1.0244
80,1.3926
81,1.1341
82,0.5954
83,1.0724
84,1.127
85,1.2451
86,1.4793
87,1.1238000000000001
88,0.893
89,0.9087000000000001
90,1.0321
91,0.6345000000000001
92,0.8258000000000001
93,0.7541
94,1.0422
95,1.4519
96,1.0065
97,0.7254
98,1.3784
99,1.4088
100,0.5649000000000001
101,0.893
102,1.4226
103,1.0844
104,0.5635
105,1.4712
106,0.9083
107,1.2752000000000001
108,0.7791
109,0.7944
110,0.6847000000000001
111,0.9681000000000001
112,1.3921000000000001
113,1.0342
114,1.2830000000000001
115,0.7762
116,0.8952
117,0.7814
118,1.1732
119,0.8678
120,1.1128
121,0.7877000000000001
122,1.2481
123,1.0438
124,0.5145000000000001
125,1.4398
126,0.8575
127,1.2402
128,1.4500000000000002
129,0.8858
130,0.7046
131,1.2431
132,0.8676
133,1.4431
134,1.1740000000000002
135,0.6762
136,1.109
137,1.4893
138,0.5469
139,0.9556
140,1.0374
141,1.0731
142,0.5421
143,0.6307
144,0.7702
145,0.8176
146,0.8468
147,0.8661000000000001
148,0.9931000000000001
149,1.0798
150,1.4038000000000002
151,0.7808
152,1.2362
153,0.6637000000000001
154,0.7190000000000001
155,0.5667
156,1.1
157,0.5857
158,1.0019
159,0.9823000000000001
160,1.1457000000000002
161,0.6816
162,0.6545000000000001
163,1.1307
164,1.0346
165,0.9968
166,1.2653
167,1.361
168,1.4023
169,0.5663
170,0.8807
171,1.3761
172,1.3261
173,0.5425
174,1.3095
175,0.6465000000000001
176,0.9281
177,1.0214
178,1.2798
179,1.0912
180,1.1591
181,0.6344000000000001
182,0.8376
183,0.7856000000000001
184,0.9642000000000001
185,1.199
186,0.7307
187,0.806
188,1.2855
189,1.1381000000000001
190,0.5657
191,1.2213
192,0.7794000000000001
193,1.4188
194,1.3175000000000001
195,1.1874
196,1.2653
197,0.6387
198,0.914
199,0.6073000000000001
200,0.8706
201,1.4525000000000001
202,1.1993
203,1.3587
204,1.1995
205,1.463
206,1.1765
207,1.3147
208,0.7201000000000001
209,1.4124
210,1.4399000000000002
211,0.9117000000000001
212,1.0624
213,1.3609
214,1.3622
215,1.2257
216,1.4025
217,0.8491000000000001
218,0.5084000000000001
219,1.0716
220,1.415
221,1.1326
222,1.0571000000000002
223,1.4393
224,0.7685000000000001
225,0.5039
226,0.5358
227,0.7663000000000001
228,0.8463
229,0.7304
230,0.7813
231,0.8887
232,1.3146
233,0.7648
234,1.2201
235,1.3508
236,1.4405000000000001
237,1.2533
238,1.3708
239,0.7419
240,1.2486000000000002
241,1.0517
242,0.9273
243,0.5038
244,0.6024
245,0.6532
246,0.6371
247,1.4781
248,1.3065
249,0.8837
250,0.6857000000000001
251,0.6001000000000001
252,0.5071
253,0.6654
254,0.7713
255,1.1008
256,0.6379
257,0.9097000000000001
258,0.8703000000000001
259,1.4468
260,0.6912
261,1.3208
262,0.5957
263,1.3622
264,0.6328
265,0.5024000000000001
266,1.1320000000000001
267,1.2155
268,0.9125000000000001
269,0.5319
270,1.1053
271,0.5367000000000001
272,1.2435
273,0.5437000000000001
274,0.8896000000000001
275,1.1026
276,1.4763000000000002
277,1.0133
278,1.3177
279,1.2621
280,1.248
281,0.5503
282,1.1036000000000001
283,1.3293000000000001
284,0.8130000000000001
285,1.0461
286,0.5873
287,1.1588
288,0.8599
289,1.2329
290,0.9561000000000001
291,0.6688000000000001
292,1.3769
293,1.3344
